PMID	PMCID	Passages
32339195	PMC7185698	Multiple mathematical modeling analyses related to Ebola hemorrhagic fever have been undertaken to forecast peak incidence and size of outbreaks. They have evaluated shifts in disease transmission dynamics during epidemics, identified factors contributing to the recurrence and persistence of outbreaks, assessed the population-level impact of quarantine on disease transmission dynamics, estimated size and duration of outbreaks with and without vaccine use, assessed the role of sexual transmission in spread of infection during outbreaks, captured real-time disease dynamics in the midst of outbreaks, projected the short- and long-term course of outbreaks, evaluated the effectiveness of control measures (e.g., isolation of cases, safe burials, and social distancing) implemented to stop outbreaks, quantified the impact of vaccination on the spatiotemporal dynamics of disease transmission, evaluated vaccination of HCW, and evaluated the impact of vaccination on the course of Ebola epidemics.
30212472	PMC6155559	However, if our objective was to minimise the total number of poultry culled, we found that vaccination was, unsurprisingly, preferred over ring culling in all instances (Fig 7). Incremental increases in vaccination radius size under each set of control capacity conditions were found to cause modest improvements with regard to this objective. Specifically, a 9km or 10km ring was optimal across all capacities and both transmission models. On the other hand, if conditions preclude the use of vaccination, pursuing a ring culling strategy in combination with this control objective results in the best performing action being either no culling beyond infected premises or a ring cull of 1km (Fig 7). Under wave 2 type transmission dynamics, high capacity ring culling results in the largest number of poultry culled, particularly when implemented at large radii (Fig 7A). For wave 5 transmission dynamics the opposite effect is seen (Fig 7C). The larger expected size of outbreaks under wave 5 type transmission dynamics (relative to wave 2 type transmission dynamics) means that low capacity ring culling proves insufficient to control the outbreak, resulting in a much larger number of poultry being culled than for higher capacities. For either wave 2 and wave 5 type transmission, increasing vaccine efficacy or decreasing the vaccine effectiveness delay led to modest reductions in the expected number of poultry culled per outbreak (Figures J-K in S1 Supporting Information).
40312760	PMC12046743	Finally, the link between diphtheria emergence risk, vaccination coverage, and conflict are all likely to be confounded by other variables that were unmeasured and thus unavailable to be included in this analysis. Because the study period spanned the COVID-19 pandemic, which impacted childhood vaccine uptake, behavioral patterns affecting respiratory disease transmission, and conflict, the observational methods in this study are limited in their ability to assess the relative importance of each and whether any are causally related to diphtheria emergence. However, the combination of two trends is unsettling: childhood vaccine coverage remains lower than in pre-pandemic periods in many regions, and conflict events and the number of people in Africa internally displaced due to conflict has risen sharply in the past decade. Assuming a causal effect, further continuation of these trends raises concerns for additional diphtheria outbreaks.
28396469	PMC5394636	Key successes Overall, progress in our knowledge of EVD transmission dynamics, control measures and management strategies has been mixed. The limited research that did occur during the outbreak was focused on novel solutions, e.g. vaccines and therapeutics, rather than fully understanding traditional public health measures or clinical management (e.g. fluid and electrolyte balance). Areas of significant advancement include: establishing a pipeline for clinical therapeutic trials in emergency settings; vaccine and therapeutics development; the incorporation of near real-time molecular techniques into transmission dynamic studies; and the use of modelling to assist in decision-making.
37214737	PMC10167817	In the mathematical model of , they took into account both the SIR model for humans and the SIR model for rodents and wild animals. In order to control the spread,  also built on , a quarantined class and a public education campaign parameter were incorporated into the human population. Authors in  also provided a basis for the monkeypox virus transmission dynamics by presenting the transmission dynamics as a system of non-linear differential equations. They recommended that the smallpox vaccine be reintroduced since it helped in minimizing the outbreak of the monkeypox virus.
36008498	PMC9409627	Multiple waves were clearly observed from many local and nationwide COVID-19 epidemic data since early 2020 (Fig. 2). It is critical to understand the underlying mechanism and identify the main drivers for multiple epidemic waves in order to prevent future COVID-19 waves and outbreaks (Kaxiras and Neofotistos; Weitz et al.; Tkachenko et al.). In this study, using the modelling idea by game theory (Poletti et al.; Jentsch et al.), we extended the SEIAHR transmission dynamic model of COVID-19, and proposed a multi-scale model by linking the behavioural change dynamics to the disease transmission dynamics (Poletti et al.; Jentsch et al.). We explicitly modeled the perceived infection (M(t)) and the proportion of individuals who have altered their behaviours , with key behavioural change parameters such as the sensitivity to the infection risk, the speed of raising the risk awareness, the persistence to maintain the risk awareness, and the spreading rate of behavioural changes among individuals. The effect of vaccination was also considered in the model. The game theory based on the feedback loop between behavioural changes and COVID-19 transmission dynamics could be used to explain the observed multiple epidemic waves. Based on the developed model with the estimated behavioural dynamic parameters and vaccination-related parameters, we investigated the interplays among vaccine uptake, behavioural change and relaxation of NPIs as well as their effects on future COVID-19 epidemics.
38035826	PMC10965211	As described elsewhere, behavioral changes within the community at risk were likely a major factor in controlling the initial outbreak in Toronto. Recent modeling studies examining the effects of control measures on transmission dynamics found that infection-induced immunity and behavioral changes among gbMSM were the primary reasons why outbreaks faded in nonendemic regions, with vaccination playing an important role in the risk of minimizing future resurgence. Given the low vaccine coverage and new susceptible persons entering transmission networks, resurgences will possibly occur in prior nonendemic areas, and enhanced surveillance, community engagement, risk communication, and vaccine promotion have an ongoing role.
29276213	PMC5911672	The transmission dynamics model, also known as the compartmental model, is an important theoretical epidemiology method used to study the transmission dynamics of infectious disease. The transmission dynamics models is based on the population characteristics, the infection characteristics of the infectious disease, and related social factors, and is used to analyze the dynamic behavior of infectious disease and to do some mathematical simulations. The resulting model is conducive to predicting the transmission tendency of the disease, determining key factors that influence the spread of disease, and seeking optimal strategies for disease control and prevention., Particularly, this method can allow researchers to add the indirect effects of herd immunity into vaccine effectiveness., In the early 1980s, the transmission dynamics model was first used to study the transmission dynamics of hepatitis B and the effectiveness of control. With the introduction of available hepatitis B vaccine, how to use a mathematical model to predict the long-term effects of vaccination on hepatitis B control became the main focus. McLean and Blumberg first proposed a differential equation model of HBV transmission to address questions concerning the impact of a mass vaccination program on the prevalence status of hepatitis B in 1994. Since then, many researchers have studied the transmission dynamics of HBV and assessed the effects of different vaccine strategies using similar methods to McLean and Blumberg. Well-supported results of such research have given a quantitative basis for making optimal decisions in public health policy regarding HBV transmission. There are, however, differences in the mathematical modeling process of HBV transmission in published studies, not only in the model structure, but also in the estimation of certain parameters. All of these factors are the important determinants of outcomes and can significantly influence the final results.
33204872	PMC7648192	A number of mathematical model have been formulated to investigate disease transmission dynamics including the effects of dengue vaccine on its transmission dynamics. Aguiar et al. developed an age-structured mathematical model to assess the impact of vaccine on dengue transmission dynamics when it is implemented on different age group. They found that the vaccine is effective if we vaccinate the seropositive individuals. The results are similar to that found by Ndii et al. and Ferguson et al.. Agusto et al. developed a mathematical model and used the optimal control theory to analyse the optimal strategies for reducing the dengue transmission. They found that the use of insecticide and vaccine can reduce the same number of infections regardless of the weights on the costs. A dengue model with vaccination has been formulated and analysed by Rodrigues et al.. They analysed the optimal control strategies to dengue and found that the reduction in the number of dengue cases depends on the type of vaccine and vaccination coverage. Aldila et al. developed a age-structure dengue model and analysed several control parameters such as the treatment and the drop-out rates for children and adults. They found that the implementation of the treatment before the occurrence of the outbreak is more effective if the budget is limited. Shim formulated and a mathematical model and analysed optimal dengue vaccination to reduce dengue transmission and focused on the vaccination on seropositive individuals. The results showed that at the early phase of epidemics, optimal dengue vaccination rates for seropositive individuals are highest. This implies that intense effort at the early phase of an epidemic is required. Pongsupum et al. formulated a mathematical model of dengue with vertical transmission and used an optimal control approach to examine the effects of vaccination, insecticides, and isolation. It was found that, although the administration of isolation and insecticides resulted a faster decline of the infected human population, a greater expense in the initial effort is required. On the other hand, the required vaccination effort is significantly less.
41520122	PMC12857096	Mathematical modeling is essential for understanding infectious-disease transmission and evaluating public-health interventions. Compartmental models such as SIR and SEIR help quantify transmission dynamics and assess the effects of vaccination, quarantine, and behavioral changes. Recent advances show that incorporating computational and ecological perspectives enhances realism in epidemic modeling, while soft-computing techniques further strengthen the integration of mechanistic and data-driven approaches. Together, these developments provide robust tools for forecasting and informed decision-making during outbreaks.
