PMID	PMCID	Sentences
40760031	PMC12320306	Cloud-based GIS platforms, including Google Earth Engine, ArcGIS Online, and QGIS, have enabled interactive mapping and dashboard-based disease tracking, allowing policymakers to assess outbreak severity, evaluate intervention effectiveness, and allocate resources efficiently.
40679473	PMC12278475	Country-specific simulated results will be displayed on an interactive dashboard, allowing policymakers, other relevant stakeholders, and the public to explore the impact of policy scenarios in relevant settings and under alternative sets of assumptions.
26226511	PMC4520613	A dashboard interface was added to the spreadsheet to allow users to interact with the BN through the simple process of selecting scenarios using tickboxes.
25631240	PMC4506239	A new "dashboard" view has been written to allow users to interactively explore the models that were derived by the various tools, replacing previous static images.
37500599	PMC10567128	In the event of new pandemic outbreaks, our results can inform policymakers on the influence of intervention in a rapid growth scenario.
23471143	PMC3587454	By exploring pathways with transient scenarios, and including the dynamic interaction between the water system and society, policymakers can identify robust and flexible pathways or identify lock-ins.
32626719	PMC7314927	Alternative interventions can be explored using modelling studies to better inform policymaking as the outbreak continues.
37929071	PMC10624059	 The Data Dashboard, called ORAL HEALTH DATA BANK SPAIN-UV, allows the user to access the software via the Internet, which will function as a web page and will allow interactive visualisation of the indicators of caries, periodontal disease and other oral conditions of the five age cohorts explored.
41027682	PMC12481378	Although the concept of dashboards is crude and does not explore individual cases or the complexity of the patients studied, with the increasing culturally and linguistically diverse population in one of the largest maternity units in the UK, it does allow key themes to be examined to guide areas requiring key intervention relevant to the population.
36286480	PMC9680627	By relying on a small number of R functions to generate a mutation list at both the nucleotide and amino acid levels and the associated RShiny interactive dashboard for data exploration (see "RShiny Dashboard Examples" in the supplemental material for details and Fig. S4 to S8 for examples of RShiny output beyond that presented in Fig. 4 above), MixviR is written to allow easy and efficient analysis for users with minimal experience or training in R or other programming languages.
