PMID	PMCID	Sentences
37312947	PMC10259105	Thereafter, we simulated the epidemic scale of multiple intervention policies under these two scenarios, including a smaller outbreak (matching what was observed in Dorm A) and a larger outbreak (Dorm C).
20875154	PMC2946781	Dynamics of disease spread within a population are of crucial importance in terms of public health, (e.g. monitoring of existing outbreaks, preemptive evaluation of intervention policies).
35042958	PMC8766467	A distinctive feature of the policy response to the management of the COVID-19 pandemic worldwide has been the role played by epidemiological modelling for evaluating the use of behavioral interventions exclusively for controlling epidemic outbreaks in populations These mathematical models, based primarily on extensions to the standard SEIR epidemic model, but also newer methods based on machine learning, network analysis, agent-based simulations, and empirical growth models based on incidence data, have enabled predictions of the course of the epidemic to warn policy-makers of the gravity of potential impacts, as well as help them in making comparisons of the various social measures proposed for suppressing viral transmission in exposed communities.
22459665	PMC4520436	Thus, in addition to evaluating the efficacy of antivirals in reducing transmission during a single outbreak, it is important to understand the potential implications of drug interventions on host-population immunity at an inter-season scale in order to develop appropriate public health policies for drug implementation and to plan for the ramifications of drug usage.
33035121	PMC7546437	Guiding intervention and policy formulation, where simulations can be particularly useful to estimate the effects of interventions before attempting them at scale in populations, potentially sidestepping some of the significant economic and social costs of testing the interventions in situ.
37919389	PMC10622523	In order to evaluate the effectiveness of the intervention policy, we developed the IBM simulation that uses the synthetic population with the same size and sociodemographic characteristics as South Korea.
35287636	PMC8919596	The 14-item WEMWBS scale has been well validated and used in the UK to monitor population-level well-being and evaluate interventions, policies, and programs aimed at improving mental wellbeing.
28818819	PMC5579324	In combination with the potential for large-scale population surveillance, the capability to augment EE data with mapped movement patterns highlights the potential for smartphone-based measurement tools to support novel research evaluating the drivers and effects of interventions and policies that impact PA.
26243323	PMC4703442	Department of Health and Human Services) in the early design phase of population and practice-based interventions so that policy or program evaluations are set up to produce useful information for scaling and sustaining system solutions.
33061858	PMC7552366	Basu et al. drew attention to other aspects of complications related to the evaluation of interventions and policies undertaken on a larger scale, indicating three main issues: (1) distinguishing the effect of the policy from time trends in health outcomes or existing differences between politically-affected and non-affected communities ( using difference approaches); (2) constructing a comparative population when the policy affects a population for which a well-chosen comparator is not immediately available (using propensity assessment or synthetic control methods); (3) responding to imperceptible interfering factors by applying quasi-random changes in policy exposure (using regression discontinuities, instrumental variables or short-range matching approaches).
